,Tenure,WarehouseToHome,HourSpendOnApp,OrderAmountHikeFromlastYear,CashbackAmount,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,CouponUsed,OrderCount,DaySinceLastOrder,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus,CityTier,Complain,Churn
0,0.7781512503836436,0.7781512503836436,0.6989700043360189,1.0413926851582251,2.4856220667055733,3,2,9,1.0,1.0,5.0,1,2,0,2,2,3,1,1
1,1.0413926851582251,0.9030899869919435,0.6989700043360189,1.1760912590556813,2.4263485737875077,4,3,7,0.0,1.0,0.0,1,4,1,3,2,1,1,1
2,1.0413926851582251,1.4771212547196624,0.6020599913279624,1.146128035678238,2.4253385482796332,4,3,6,0.0,1.0,3.0,1,2,1,3,2,1,1,1
3,0.3010299956639812,1.1760912590556813,0.6020599913279624,1.3617278360175928,2.447266591393254,4,5,8,0.0,1.0,3.0,1,2,1,2,2,3,0,1
4,0.3010299956639812,1.0791812460476249,0.6989700043360189,1.0413926851582251,2.440279213235588,3,5,3,1.0,1.0,3.0,1,1,1,3,2,1,0,1
5,0.3010299956639812,1.3424226808222062,0.6989700043360189,1.3424226808222062,2.4551342931960995,5,5,2,4.0,6.0,7.0,0,2,0,3,2,1,1,1
6,1.0413926851582251,1.0413926851582251,0.6020599913279624,1.146128035678238,2.4262834816887793,3,2,4,0.0,1.0,0.0,1,0,1,2,0,3,0,1
7,1.0413926851582251,0.7781512503836436,0.6989700043360189,1.2041199826559248,2.4296392518615537,3,2,3,2.0,2.0,0.0,1,1,1,3,0,1,1,1
8,1.1760912590556813,0.9542425094393249,0.6989700043360189,1.146128035678238,2.4358921230156536,4,3,2,0.0,1.0,2.0,1,3,1,3,0,3,1,1
9,1.0413926851582251,1.4913616938342726,0.6020599913279624,1.0791812460476249,2.4296392518615537,5,3,2,1.0,1.0,1.0,1,2,1,3,2,1,0,1
10,0.7781512503836436,1.255272505103306,0.6020599913279624,1.1760912590556813,2.644881521155292,3,3,2,9.0,15.0,8.0,1,0,0,4,0,1,0,1
11,1.1139433523068367,0.7781512503836436,0.6989700043360189,1.1139433523068367,2.4768461144108262,4,3,10,0.0,1.0,0.0,1,2,1,0,2,1,1,1
12,0.3010299956639812,1.0413926851582251,0.6020599913279624,1.1139433523068367,2.4477934974093816,3,3,2,2.0,2.0,2.0,1,0,1,3,2,1,1,1
13,0.3010299956639812,1.1760912590556813,0.6989700043360189,1.2304489213782739,2.446971865240103,4,3,1,0.0,1.0,0.0,1,1,1,3,0,1,1,1
14,1.0413926851582251,1.1760912590556813,0.6989700043360189,1.2041199826559248,2.534267313772362,4,2,2,0.0,4.0,7.0,1,1,1,0,2,3,0,1
15,1.0413926851582251,1.0791812460476249,0.6989700043360189,1.3424226808222062,2.4260718649652104,3,5,5,1.0,1.0,2.0,1,4,1,3,1,2,1,1
16,0.3010299956639812,1.0791812460476249,0.6989700043360189,1.255272505103306,2.4397431055399927,4,2,2,1.0,1.0,0.0,0,2,0,3,2,1,1,1
17,0.3010299956639812,1.0413926851582251,0.6020599913279624,1.0413926851582251,2.4820728296947343,4,3,2,1.0,1.0,3.0,1,3,1,2,2,3,1,1
18,0.3010299956639812,1.1139433523068367,0.6989700043360189,1.380211241711606,2.4867704132389434,5,3,2,1.0,1.0,6.0,0,2,1,2,2,1,1,1
19,1.3222192947339193,1.3010299956639813,0.6989700043360189,1.255272505103306,2.470748503380986,3,4,10,1.0,4.0,3.0,1,2,0,3,0,1,1,1
